tconst	averageRating	numVotes
tt0167515	3.2	970
tt0167645	6.2	11
tt0167716	6.9	12
tt0167735	4.1	947
tt0168278	7.2	8
tt0168296	7.5	52
tt0168372	3.0	412
tt0169469	7.6	13
tt0170511	7.6	70
tt0170980	7.1	599
tt0171015	6.9	165
tt0171998	5.8	86
tt0172014	4.0	419
tt0174397	7.3	288
tt0175383	2.3	3875
tt0177440	6.7	5151
tt0177446	2.9	1517
tt0178146	6.7	43
tt0179055	6.3	91
tt0179562	6.3	9
tt0179572	3.9	269
tt0181261	4.3	1124
tt0181793	7.0	17
tt0183068	5.5	189
tt0184122	5.8	2946
tt0185049	6.8	504
tt0185065	3.0	2496
tt0185819	3.9	1734
tt0189307	6.1	280
tt0192897	7.0	556
tt0192906	5.4	830
tt0193671	7.9	125
tt0194597	6.7	223
tt0194599	7.8	79
tt0195447	6.8	42
tt0196249	7.4	94
tt0197176	7.6	326
tt0198063	6.3	12
tt0198099	5.5	154
tt0198226	6.0	11
tt0198798	7.8	60
tt0199180	7.5	40
tt0199191	8.0	378
tt0199192	7.0	74
tt0199236	7.0	20
tt0199249	9.2	861
tt0199250	6.2	13
tt0199278	3.0	204
tt0202741	6.6	3785
tt0202765	6.8	826
tt0203259	8.1	134423
tt0204094	5.7	291
tt0205659	7.1	142
tt0206467	8.2	1642
tt0207255	7.9	861
tt0208623	6.5	199
tt0208648	7.0	80
tt0209525	5.6	6
tt0209573	6.9	11
tt0209577	6.6	33
tt0209604	7.0	26
tt0209620	9.0	5
tt0209679	6.3	30
tt0209683	8.1	11
tt0209700	7.4	40
tt0209791	7.5	19
tt0209827	8.5	17
tt0210434	8.0	47
tt0211143	7.1	48
tt0211157	7.3	104
tt0211768	5.8	110
tt0211866	4.9	341
tt0211873	7.3	136
tt0212710	8.1	156
tt0213327	6.6	15290
tt0213360	7.2	36
tt0214341	8.8	159491
tt0214346	9.0	6
tt0214364	6.9	120
tt0214371	6.4	453
tt0214381	7.4	50
tt0215445	8.3	250
tt0216459	8.3	769
tt0216470	5.3	9
tt0217203	8.3	565
tt0217211	2.2	1447
tt0217925	7.5	8
tt0218754	5.6	25
tt0218784	5.8	22
tt0218789	8.0	192
tt0219436	6.8	44
tt0219447	5.7	25
tt0220195	5.9	17
tt0220197	7.9	15
tt0220205	7.8	221
tt0220238	7.4	3531
tt0221199	8.1	120
tt0221738	7.7	82
tt0222558	6.6	25
tt0222560	3.9	314
tt0222593	7.1	11
tt0222685	8.7	100
tt0224452	7.2	364
tt0224827	7.2	232
tt0224830	7.1	12
tt0224859	9.0	67
tt0224887	6.3	474
tt0224941	7.9	30
tt0227869	7.7	19
tt0227881	6.6	29
tt0227937	7.3	15
tt0227952	6.9	17
tt0227958	5.5	107
tt0229155	6.9	65
tt0229908	5.5	33
tt0231033	4.7	10
tt0231035	5.9	725
tt0231040	6.8	207
tt0235915	8.2	166
tt0235927	4.5	459
tt0236903	5.0	154
tt0236924	7.1	101
tt0239164	5.9	251
tt0240267	8.1	1094
tt0240272	6.5	198
tt0241108	4.6	81
tt0241383	4.6	1951
tt0242750	2.9	169
tt0244156	6.7	2314
tt0244339	7.1	50
tt0246359	5.5	290
tt0246401	4.7	8
tt0247094	3.2	997
tt0247108	7.5	109
tt0247880	7.6	548
tt0249314	7.7	89
tt0250875	8.1	4436
tt0251503	8.2	720
tt0254031	3.7	381
tt0255149	6.8	13
tt0255734	7.5	16259
tt0257301	6.4	47
tt0257303	8.0	156
tt0259158	6.3	40
tt0260618	8.4	328
tt0260653	6.9	1782
tt0262152	5.2	438
tt0262163	2.3	189
tt0262955	7.5	40
tt0262963	8.0	89
tt0262990	8.4	372
tt0266134	4.2	572
tt0266145	3.4	34
tt0266202	8.7	10
tt0267154	5.3	32
tt0267170	8.5	21
tt0267207	5.9	57
tt0268792	5.3	12
tt0270116	7.5	1191
tt0270118	4.7	1652
tt0270764	8.7	143
