tconst	parentTconst	seasonNumber	episodeNumber
tt29768227	tt21907668	1.0	613.0
tt1721269	tt0063908	19.0	17.0
tt10461044	tt7643936	1.0	14.0
tt2416308	tt1314894	1.0	4.0
tt1571683	tt0486535		
tt9739570	tt3890300	1.0	286.0
tt2099377	tt0214371	3.0	4.0
tt5362580	tt2163227	5.0	28.0
tt15952856	tt15941280		
tt15463118	tt0442646		
tt11733094	tt0044265	1.0	9455.0
tt26171576	tt25436244	1.0	1.0
tt7972048	tt7705744	1.0	2.0
tt17322292	tt9359526	5.0	4.0
tt22867894	tt4886788		
tt33038742	tt3699744	8.0	17.0
tt10164270	tt1868745	1.0	1119.0
tt17351904	tt7260936	1.0	130.0
tt7633828	tt1159993	1.0	126.0
tt16346140	tt0988827	1.0	6753.0
tt9236942	tt0328766	1.0	41.0
tt6692018	tt6671100		
tt8873072	tt4417412	5.0	2.0
tt11099598	tt0115381	3.0	95.0
tt12663482	tt1092504		
tt34724667	tt30421302	2.0	1.0
tt5290976	tt4550086	1.0	29.0
tt29441459	tt12009788		
tt13023794	tt10196152	1.0	422.0
tt3967542	tt3919358	1.0	30.0
tt33656917	tt30423084	1.0	218.0
tt9209386	tt2878232		
tt11643786	tt0450923		
tt5562756	tt4017986	1.0	112.0
tt29078617	tt23854166	1.0	746.0
tt16100656	tt16068480		
tt14133046	tt5052884	1.0	141.0
tt21186408	tt11714246	9.0	3.0
tt15543642	tt14137954	2.0	109.0
tt3627300	tt0115227	18.0	188.0
tt10813232	tt0075281	1.0	1011.0
tt6785172	tt5838610	1.0	115.0
tt9480916	tt1528406	8.0	17.0
tt21929848	tt12229024	1.0	132.0
tt16380052	tt8852574	1.0	106.0
tt23034374	tt10799778	1.0	115.0
tt9743386	tt9327232		
tt33838860	tt1580495	4.0	26.0
tt1413926	tt1216222	1.0	6.0
tt8897336	tt8420604	1.0	40.0
tt14356290	tt6040830	3.0	22.0
tt13557386	tt13529340	1.0	1.0
tt3769692	tt1479027	1.0	79.0
tt6802344	tt6710142	1.0	4.0
tt15810206	tt0439979	1.0	1567.0
tt19179178	tt13315414		
tt4382020	tt4372808	1.0	5.0
tt32319357	tt30221707	1.0	1071.0
tt4728542	tt1932099	5.0	1.0
tt10269784	tt10264328	1.0	3.0
tt29740817	tt28700363	15.0	77.0
tt1455691	tt1452828	1.0	2.0
tt1170808	tt0214341	4.0	3.0
tt10062672	tt7715448		
tt9481564	tt5571082	1.0	5.0
tt11925164	tt7978240	1.0	36.0
tt18989840	tt0481305	2.0	2.0
tt5735286	tt1957808		
tt19413484	tt0344642	1.0	8275.0
tt1222614	tt0460681	4.0	7.0
tt11262528	tt0497079	14.0	18.0
tt27026944	tt27009032	1.0	355.0
tt15721310	tt7633122		
tt2085169	tt1699208	2.0	4.0
tt11544946	tt10245786	1.0	1.0
tt18246178	tt14796940		
tt16402974	tt0264267	5.0	50.0
tt5705696	tt6819414		
tt1526846	tt1441005	1.0	1.0
tt14231362	tt0244339	1.0	506.0
tt17506342	tt2604124		
tt13739996	tt0463824	3.0	76.0
tt3337966	tt0329824	1.0	116.0
tt2805350	tt0096597	6.0	152.0
tt8593274	tt2734004	1.0	335.0
tt5007274	tt4983964	1.0	13.0
tt12479452	tt6183700		
tt12554882	tt10195640	1.0	318.0
tt20725542	tt2364308	1.0	6600.0
tt33363835	tt6006706		
tt7392354	tt1576767	1.0	23.0
tt12004052	tt5832098		
tt21802374	tt11815656	3.0	3.0
tt1867237	tt0842906	12.0	4.0
tt15098800	tt5644718	1.0	242.0
tt9441846	tt8299402	6.0	4.0
tt0789525	tt0065314	5.0	3.0
tt5558626	tt0460379	1.0	4.0
tt14042994	tt2235082	1.0	6020.0
tt2329107	tt1124062	1.0	165.0
tt29869722	tt25207062	3.0	1.0
tt27450316	tt18336136	1.0	894.0
tt1123430	tt0118378	11.0	1.0
tt13813602	tt0784879		
tt31048521	tt14127740	1.0	81.0
tt1818055	tt0088554	1.0	236.0
tt1019853	tt0123366		
tt3938062	tt1985601	1.0	7004.0
tt7039900	tt3835012		
tt10260998	tt1144839		
tt2610118	tt0497156	8.0	1.0
tt1786110	tt1295657	1.0	2.0
tt10008982	tt4034410	7.0	2.0
tt27926245	tt0853076	1.0	3786.0
tt27217721	tt21838440		
tt15442000	tt1527854	7.0	76.0
tt33476873	tt33476731	1.0	1.0
tt0602675	tt0184122	3.0	1.0
tt30427980	tt20453950		
tt12272472	tt0343298	1.0	207.0
tt20416600	tt9652928	1.0	15.0
tt28481393	tt28400615		
tt13971454	tt13971326	1.0	2.0
