tconst	parentTconst	seasonNumber	episodeNumber
tt11990218	tt5376982	4.0	34.0
tt2519156	tt1923950		
tt0586218	tt0045395	8.0	14.0
tt9600118	tt2570866	1.0	884.0
tt3118602	tt3107222	1.0	6.0
tt4014206	tt3865564	3.0	5.0
tt0987999	tt0907704	1.0	46.0
tt1366609	tt0403813		
tt28793806	tt28702406	1.0	867.0
tt13255676	tt4234518	2.0	8.0
tt8269670	tt0144066	1.0	27.0
tt33713696	tt32761020		
tt12609864	tt0090493		
tt9081716	tt0759033	61.0	345.0
tt12640712	tt0042092	1.0	2.0
tt1878383	tt1699756	1.0	180.0
tt8025038	tt0379649	1.0	75.0
tt9343192	tt3875490	2.0	20.0
tt15529290	tt15383132		
tt10796522	tt0075281	1.0	951.0
tt12072154	tt11597332	5.0	1.0
tt8340908	tt0251503	1.0	132.0
tt10242776	tt2155153	1.0	866.0
tt28766740	tt26695231	1.0	14.0
tt27635035	tt15079796	1.0	626.0
tt7660242	tt7657106	3.0	1.0
tt4645348	tt3838256	2.0	23.0
tt0769385	tt0472970		
tt11619844	tt0315097	1.0	127.0
tt1162662	tt0995012	1.0	11.0
tt2300167	tt0346307		
tt8877972	tt4986278	1.0	161.0
tt10485544	tt7915114	1.0	834.0
tt2167816	tt0170980	12.0	147.0
tt3730416	tt0154053		
tt5894222	tt5359500		
tt8540516	tt1480165		
tt9092124	tt2887056	1.0	6.0
tt32195032	tt8682874	6.0	173.0
tt5386106	tt0283767	1.0	3238.0
tt0979693	tt0094531	1.0	8.0
tt30098191	tt10239224	1.0	15.0
tt14313148	tt14078264	1.0	697.0
tt1618046	tt1443631	1.0	12.0
tt8904966	tt8489512	1.0	46.0
tt15418890	tt15417708	2.0	2.0
tt3904862	tt3888412	1.0	4.0
tt28213905	tt0235129	1.0	31.0
tt27817466	tt0880565	1.0	84.0
tt33395051	tt14656844	2.0	8.0
tt13263306	tt0055708	4.0	70.0
tt15708434	tt15684788	2.0	18.0
tt3925240	tt1985601	1.0	98.0
tt0503520	tt0051247	1.0	23.0
tt7553462	tt0216459	1.0	97.0
tt30051563	tt18329370	1.0	600.0
tt4241788	tt4223864		
tt3472546	tt2371873	1.0	20.0
tt2054868	tt1885468		
tt11733568	tt11608020	1.0	707.0
tt33082686	tt33062164	1.0	6065.0
tt19176200	tt5431570	25.0	194.0
tt8984152	tt0374443	1.0	50.0
tt10726796	tt9004294	2.0	11.0
tt12333696	tt1442550	11.0	24.0
tt15931926	tt15900270		
tt1275138	tt0068120	4.0	129.0
tt5841794	tt3455222	6.0	6.0
tt0837615	tt0267170		
tt30748336	tt15079914	1.0	570.0
tt14307784	tt5762426	1.0	825.0
tt19244112	tt15756728	1.0	6.0
tt14709912	tt6973542		
tt9164904	tt0166034		
tt0929520	tt0762803	8.0	6.0
tt15459244	tt1229321	1.0	16.0
tt10851046	tt0220197	1.0	4.0
tt27851047	tt0320913		
tt5402706	tt0278180	2.0	52.0
tt13733812	tt12788574	1.0	18.0
tt15804330	tt3622998	4.0	36.0
tt7238852	tt6556992	3.0	11.0
tt2117095	tt1967879		
tt9194034	tt0094514	11.0	7.0
tt13755126	tt10127582	1.0	49.0
tt16077952	tt1170244		
tt21221020	tt14617030		
tt27429284	tt0057731	1.0	1422.0
tt16495874	tt4648716	1.0	603.0
tt2850776	tt0276737	4.0	6.0
tt32676556	tt32188757	1.0	3067.0
tt19920580	tt18469968	1.0	34.0
tt21039986	tt2601566	1.0	48.0
tt10473812	tt0111921	1.0	302.0
tt10028988	tt2194408	6.0	47.0
tt5587448	tt5574086	1.0	5.0
tt13488700	tt0088550	1.0	893.0
tt8312444	tt8286786	1.0	8.0
tt1947385	tt1863965	1.0	2.0
tt1222056	tt0092325	1.0	5314.0
tt11550374	tt4674836	1.0	603.0
tt5183550	tt0407358		
tt34624331	tt21203740	1.0	1267.0
tt35298420	tt29420514	1.0	2.0
tt29138914	tt27722982	1.0	88.0
tt6710068	tt0281415	1.0	53.0
tt1578063	tt1541780	1.0	2.0
tt14080024	tt12369190	1.0	214.0
tt31444535	tt11459148	12.0	49.0
tt35789997	tt35783189	5.0	9.0
tt3256776	tt1489508	7.0	6.0
tt7702814	tt0795129	116.0	2.0
tt14919774	tt13463778	1.0	5.0
tt16993974	tt15472028	1.0	6.0
tt18970396	tt5431570	9.0	25.0
tt27329450	tt18314172	1.0	679.0
tt11012984	tt0372729		
tt15167980	tt11383908	6.0	12.0
tt33508170	tt33503300	3.0	6.0
tt9687190	tt7998102	1.0	115.0
tt13634770	tt1737565	26.0	19.0
tt5586460	tt2970718		
tt21608642	tt12803984		
tt0708514	tt0106145	2.0	5.0
tt7282886	tt4816922		
tt6058672	tt0324812	1.0	2.0
tt0858902	tt0092389	6.0	13.0
tt7652228	tt0208648	1.0	114.0
tt4866938	tt3519870	6.0	3.0
tt5299952	tt0086810	15.0	5.0
tt20674418	tt19756810	2.0	3.0
tt1224096	tt0883849	2.0	54.0
tt28779641	tt12847824	4.0	239.0
tt4954096	tt4926002	1.0	116.0
tt22402812	tt0219436	1.0	962.0
tt10177018	tt8884460	1.0	56.0
tt32046714	tt11290468	1.0	21.0
tt30227445	tt29041498	1.0	30.0
tt0701284	tt0096697	13.0	1.0
tt30576244	tt3008594	8.0	14.0
tt10384384	tt0305056		
tt32829583	tt32827590	1.0	539.0
tt0603832	tt0129685	4.0	46.0
tt10456072	tt0051272	1.0	648.0
tt1573614	tt1570540	1.0	1.0
tt23553524	tt23025716	1.0	2.0
tt6695104	tt0181793	1.0	104.0
tt3387004	tt0382449		
tt14999836	tt14995438	1.0	3.0
tt0676618	tt0214364	8.0	2.0
tt14436136	tt12546874	1.0	129.0
tt7867626	tt5650708		
tt33811283	tt9458840		
tt17890336	tt1642495	1.0	308.0
tt35338595	tt23571872	2.0	4.0
tt7762440	tt7410298	1.0	150.0
tt1797660	tt1518455	2.0	9.0
tt27444697	tt0373516		
tt2844066	tt2445660	8.0	6.0
tt23668454	tt21613324	1.0	41.0
tt12509328	tt11193770	1.0	276.0
tt18230496	tt0320913		
tt9645730	tt4662064	1.0	4.0
tt1730973	tt1655894	1.0	6.0
tt33255424	tt31867638		
tt11340094	tt10162328	1.0	259.0
tt18211932	tt3185588	9.0	78.0
tt5649168	tt5633924	1.0	3.0
tt2205801	tt0374364		
tt9430400	tt0799583		
tt30215664	tt12646646	2.0	16.0
tt7520378	tt0212710	1.0	11.0
tt4223468	tt0103474	2.0	16.0
tt6035806	tt0049993	27.0	12.0
tt8613840	tt8489522	1.0	15.0
tt5182606	tt5020080	1.0	20.0
tt14634148	tt14022938	7.0	15.0
tt3683766	tt1598651	2.0	14.0
tt8490676	tt6297884	3.0	35.0
tt5902010	tt5805100	1.0	3.0
tt1502342	tt1324722	1.0	4.0
tt9216788	tt0350452	1.0	73.0
tt8063738	tt2089467	7.0	12.0
tt1339814	tt0977628	1.0	24.0
tt15058866	tt13586680		
tt4883700	tt1280627		
tt0831556	tt0096592	6.0	31.0
tt1365389	tt1118042	1.0	10.0
tt8485650	tt2793136	12.0	20.0
tt29275305	tt29248187	1.0	110.0
tt16411584	tt0051257	20.0	14.0
tt10446282	tt0439344	10.0	133.0
tt12656840	tt12655564	1.0	28.0
tt15763370	tt0159879	1.0	188.0
tt2372841	tt0058796	1.0	11879.0
tt9206770	tt11170862	1.0	9.0
tt28364348	tt28364262	1.0	17.0
tt0744009	tt0247108	1.0	5.0
tt15513226	tt15508050	1.0	1.0
tt10650164	tt3667404	1.0	1274.0
tt6146130	tt5706484		
tt12582740	tt7955354	1.0	164.0
tt4491088	tt0162076	8.0	138.0
tt1939961	tt0401916	1.0	473.0
tt12024534	tt0267154	3.0	8.0
tt31435465	tt12312228		
tt9412390	tt9398662	1.0	3.0
tt5801832	tt5790430	1.0	15.0
tt7535474	tt0262152		
tt2431976	tt2394140	3.0	20.0
tt0726731	tt0055708		
tt32652055	tt32188722	1.0	574.0
tt9594912	tt2570866	1.0	139.0
tt1382155	tt0403813		
tt1559184	tt0388595	7.0	7.0
tt0733636	tt0086818	2.0	9.0
tt6569602	tt2592038	1.0	2.0
tt10636988	tt2231696	7.0	220.0
tt1956230	tt1650527	3.0	8.0
tt1215760	tt0337215	1.0	14.0
tt4499090	tt1454713	7.0	8.0
tt16588410	tt0434733	1.0	2045.0
tt3918942	tt0283226	5.0	13.0
tt27818659	tt27433230	1.0	539.0
tt12938362	tt0940039	24.0	22.0
tt15276868	tt0247666	1.0	11.0
tt2980926	tt1739296		
tt6479976	tt6118178		
tt9297494	tt4546568	4.0	381.0
tt14165446	tt14078328	1.0	382.0
tt6422004	tt0795129	100.0	4.0
tt6002966	tt2264036	1.0	2.0
tt7493006	tt4680240	3.0	9.0
tt17053328	tt8171352	6.0	54.0
tt19079274	tt14920770	1.0	298.0
tt1224539	tt1119642	1.0	138.0
tt4312150	tt2215842	3.0	6.0
tt13838718	tt13772616	1.0	293.0
tt0654343	tt0283203	2.0	20.0
tt10990610	tt10719524	1.0	30.0
tt13407936	tt1752508	7.0	128.0
tt27843902	tt27843828	1.0	5.0
tt1996624	tt0162076	1.0	4563.0
tt13641784	tt0430809	26.0	5.0
tt5039618	tt2762564	4.0	2.0
tt11355926	tt11299474	2.0	399.0
tt6350758	tt5156964	1.0	3.0
tt1775823	tt1570512	1.0	151.0
tt5555920	tt0168278	1.0	5.0
tt9563046	tt8682186	2.0	21.0
tt15537220	tt8101930	4.0	171.0
tt1493384	tt0055671	1.0	11.0
tt0999955	tt0426379	1.0	4.0
tt12650818	tt0082201	1.0	482.0
tt10858622	tt10530622	1.0	1.0
tt23062072	tt19148146	1.0	2.0
tt2011596	tt0159881	5.0	30.0
tt4251172	tt0309123	36.0	10.0
tt5285114	tt0853076	1.0	1002.0
tt3290214	tt3168736	1.0	19.0
tt12324804	tt12142084		
tt20205778	tt2178833	3.0	3.0
tt17907836	tt0434733	1.0	8853.0
tt17540194	tt17522510	3.0	59.0
tt34812202	tt34721650		
tt31411067	tt31398701	1.0	26.0
tt3054598	tt0057797	1.0	2.0
tt2044678	tt0055691	1.0	4.0
tt24257814	tt1500570		
tt32446911	tt11827352		
tt12466938	tt12235572	5.0	25.0
tt9113948	tt3562462	4.0	10.0
tt15041936	tt12467534	5.0	1.0
tt13117424	tt0429312		
tt3872444	tt3855304	1.0	12.0
tt3432246	tt3319126	4.0	21.0
tt9308852	tt0381813	1.0	32.0
tt14713474	tt10300638		
tt1350783	tt1346352	1.0	33.0
tt4398756	tt3509720	1.0	20.0
tt6263628	tt6247308	1.0	2.0
tt5868986	tt0439389	1.0	945.0
tt7491774	tt0800969	1.0	4.0
tt8472194	tt8464650	6.0	7.0
tt10633048	tt7993422	1.0	204.0
tt32330705	tt8090630	1.0	9.0
tt15135868	tt0194599	1.0	2651.0
tt20248720	tt18313998	1.0	350.0
tt26897692	tt26336930		
tt15635510	tt12164062		
tt6310948	tt6296212	1.0	2091.0
tt12586632	tt12153954	1.0	214.0
tt31039933	tt0780370	17.0	7.0
tt34387155	tt0439389	1.0	3848.0
tt15026392	tt13358186	1.0	120.0
tt1686542	tt0046592	1.0	18.0
tt12957036	tt10230298	1.0	249.0
tt0571872	tt0460363	1.0	6.0
tt13072520	tt12435016	1.0	268.0
tt8188798	tt8003096	1.0	5.0
tt5570630	tt5561726	1.0	9.0
tt10094958	tt5864184	1.0	19.0
tt14300850	tt0853067		
tt30150771	tt30150302	1.0	116.0
tt28525681	tt28487862		
tt2230668	tt2168474	2.0	11.0
tt13107142	tt12176850	1.0	1292.0
tt31159811	tt0463802		
tt26596229	tt6088196	1.0	25.0
tt1604886	tt1233562	1.0	53.0
tt29369485	tt10127406	1.0	2467.0
tt11964724	tt0218789	3.0	4.0
tt21832302	tt9646834	5.0	1.0
tt14352144	tt12531820	1.0	63.0
tt12504342	tt0046589	1.0	17.0
tt19859512	tt19859190	1.0	3.0
tt1703693	tt0386983		
tt28682949	tt28681112	1.0	7.0
tt13920432	tt0962884	14.0	2.0
tt12485750	tt0103487	1.0	1946.0
tt1396767	tt0170980	19.0	34.0
tt6991604	tt6428202		
tt35601722	tt13276054	1.0	28.0
tt3990170	tt3886214	1.0	43.0
tt1601445	tt0215445	4.0	8.0
tt15599790	tt12174592	2.0	13.0
tt9301118	tt8675534		
tt14612832	tt6663476	5.0	9.0
tt3055186	tt2098220	1.0	72.0
tt7209456	tt0314492	1.0	138.0
tt2295115	tt1825237	3.0	9.0
tt5825976	tt0447804	1.0	24.0
tt9583970	tt6216702	2.0	14.0
tt16124904	tt15792092		
tt2280589	tt2272601	1.0	29.0
tt19406180	tt0315719	20.0	171.0
tt27695730	tt1062187	5.0	341.0
tt32642171	tt14141642		
tt8565140	tt6769314		
tt12920106	tt0492430	5.0	246.0
tt28965079	tt20259190	2.0	9.0
tt0691518	tt0392994		
tt1099858	tt0475209	2.0	11.0
tt0835574	tt0484241		
tt13855986	tt11671144	1.0	193.0
tt12452602	tt10628142	1.0	563.0
tt18968558	tt15210872	1.0	46.0
tt2699218	tt2650282	1.0	32.0
tt9417412	tt0809387	1.0	666.0
tt1730630	tt0088608	1.0	4.0
tt34298003	tt32275353		
tt2339155	tt1382157	10.0	3.0
tt32808948	tt32792180	2.0	3.0
tt12163078	tt11679580	1.0	41.0
tt9714012	tt0498891		
tt23137608	tt5205196	1.0	159.0
tt1246514	tt0108993	1.0	8.0
tt0987013	tt0845740	1.0	7.0
tt7772210	tt6491428	1.0	45.0
tt29950427	tt0295813	4.0	2.0
tt4767838	tt3799178		
tt7217354	tt1229032		
tt27729285	tt26896992	1.0	176.0
tt1770940	tt1170481	1.0	20.0
tt15995760	tt15975418		
tt11177412	tt6963612	2.0	20.0
tt13513406	tt0088550	1.0	1620.0
tt0505115	tt0206467	1.0	2.0
tt4036142	tt0476625	2.0	1.0
tt10415858	tt0353048		
tt4833166	tt4695428	1.0	9.0
tt34683777	tt4469212	1.0	2165.0
tt16293160	tt0092350	1.0	166.0
tt11974240	tt11969160	1.0	4.0
tt21198190	tt20867578	1.0	73.0
tt12575294	tt10235924	1.0	339.0
tt8431948	tt8134760	1.0	5.0
tt7385380	tt7017872	4.0	64.0
tt26941471	tt6461440		
tt26940211	tt0222593	1.0	34.0
tt2138697	tt1949877	1.0	13.0
tt15056222	tt2247150	10.0	4.0
tt35891845	tt35682577		
tt11669196	tt9165462	1.0	10.0
tt9371918	tt3644198		
tt14471270	tt14471178		
tt3475474	tt2380710	2.0	76.0
tt18564410	tt14568878	1.0	472.0
tt20958972	tt0057731	1.0	2414.0
tt14985582	tt8205262		
tt1224701	tt0424620	4.0	6.0
tt9606550	tt9446358	1.0	7.0
tt2309280	tt2229470		
tt26677086	tt0044298	1.0	2133.0
tt1430062	tt0092490	1.0	1.0
tt11340520	tt1542802	1.0	374.0
tt31261230	tt13777138	4.0	25.0
tt1191959	tt0189307	1.0	124.0
tt5787542	tt5744840	1.0	13.0
tt25814962	tt0204094	10.0	108.0
tt1917189	tt0324788		
tt6490890	tt5989884		
tt8681584	tt2593254	2.0	2.0
tt17279954	tt0115092	1.0	75.0
tt29054530	tt12106076	1.0	988.0
tt9446778	tt2057880	13.0	83.0
tt1543073	tt0048845	1.0	13643.0
tt31322649	tt7336664	57.0	46.0
tt33378160	tt21411692	1.0	100.0
tt29116182	tt29115970	3.0	1.0
tt17131860	tt10423022	1.0	64.0
tt21110734	tt20230882	1.0	19.0
tt1086410	tt0054512	1.0	8.0
tt15088926	tt15036792	1.0	12.0
tt16318960	tt6316634	1.0	243.0
tt9790266	tt9756062		
tt18298152	tt11827352		
tt4948242	tt4728244	3.0	7.0
tt8789466	tt4229222		
tt32331642	tt27673838	1.0	6.0
tt2110633	tt1548331	2.0	3.0
tt5740304	tt0400998		
tt7578282	tt7499180	1.0	127.0
tt13922038	tt2235082	1.0	1693.0
tt0947706	tt0498891		
tt28742866	tt15156682	17.0	31.0
tt33059680	tt33058984	2.0	2.0
tt1235692	tt0843933	4.0	8.0
tt30777521	tt1927826	13.0	201.0
tt2808568	tt1868674	1.0	79.0
tt34729035	tt7605566	6.0	30.0
tt11927568	tt11784978	1.0	1003.0
tt12800916	tt8994152	1.0	827.0
tt34162202	tt34057932	1.0	4.0
tt21904244	tt21903754	1.0	43.0
tt23899196	tt10189508	2.0	483.0
tt1425049	tt0199250	1.0	17.0
tt1325334	tt0423713	1.0	25.0
tt3364476	tt0072584	21.0	147.0
tt5064742	tt5034894	1.0	559.0
tt27634854	tt15079796	1.0	477.0
tt18344328	tt15079796	1.0	75.0
tt1689226	tt0088580	1.0	2426.0
tt16299440	tt15614884	1.0	30.0
tt5874718	tt5863436	1.0	4.0
tt13211736	tt8670332	3.0	1.0
tt20867826	tt17013904	1.0	3261.0
tt7622082	tt4863852		
tt28663403	tt5147074	16.0	2.0
tt13659248	tt2331482		
tt2243330	tt1433870	4.0	54.0
tt13435990	tt1752508	9.0	204.0
tt2768946	tt0094481	1.0	5690.0
tt30887059	tt12531904	1.0	1104.0
tt2699130	tt0053494	1.0	8057.0
tt10176902	tt10157602	1.0	1.0
tt13874702	tt0400009	1.0	188.0
tt6881194	tt4588620		
tt30318466	tt30254746	1.0	7209.0
tt15872872	tt12644388		
tt8177650	tt0221738	1.0	155.0
tt16330880	tt0988827	1.0	5285.0
tt4080016	tt3826744	1.0	47.0
tt26700151	tt0409623	1.0	163.0
tt20598488	tt17065486	1.0	56.0
tt7288972	tt1988246	7.0	26.0
tt29492083	tt8784032	11.0	41.0
tt35080235	tt35052440	1.0	3.0
tt3127202	tt3014394	1.0	3.0
tt9090780	tt4906644	1.0	74.0
tt1142927	tt0448300	3.0	31.0
tt12083764	tt12083714	1.0	3.0
tt3611350	tt2666408	2.0	19.0
tt17890488	tt2113273	1.0	1063.0
tt0694149	tt0068128	6.0	1.0
tt0894797	tt0081935	1.0	221.0
tt14937242	tt14770730	1.0	1103.0
tt4816426	tt4799454	2.0	1.0
tt9411140	tt1491935	1.0	421.0
tt26759007	tt26758618	1.0	23.0
tt3037160	tt2135512	2.0	12.0
tt11101394	tt7199778	4.0	42.0
tt29115104	tt10962092	2.0	28.0
tt14405720	tt0198118	1.0	2.0
tt8831824	tt3430026	1.0	606.0
tt3728772	tt2361796	1.0	3.0
tt4854948	tt4850566		
tt11727354	tt7596168	5.0	31.0
tt11048358	tt7905416	1.0	154.0
tt8661706	tt3777146		
tt14644366	tt5209414		
tt14582066	tt14490224	1.0	3.0
tt26344769	tt0143055	11.0	13.0
tt5026514	tt0120919	45.0	25.0
tt14307140	tt14078264	1.0	664.0
tt10931212	tt10699300	1.0	4.0
tt8562654	tt5903724	3.0	7.0
tt30052286	tt18329762	1.0	223.0
tt12581016	tt1144410	1.0	34.0
tt15002230	tt14891966	1.0	115.0
tt13418434	tt1231460	5.0	157.0
tt11885792	tt11710778	1.0	8.0
tt7817338	tt7790776	1.0	2.0
tt15371164	tt15243886	1.0	89.0
tt9672374	tt0433512	2.0	176.0
tt0912472	tt0149541		
tt5798250	tt5596646	1.0	1.0
tt29549967	tt27520872		
tt16150784	tt0439979	1.0	7969.0
tt16428966	tt16426828	1.0	10.0
tt15674232	tt15673742		
tt0518912	tt0069557	8.0	12.0
tt14063900	tt4829382	7.0	4.0
tt1770939	tt1170481	1.0	13.0
tt14564290	tt8319644		
tt30748581	tt19512360	1.0	464.0
tt33510471	tt0266145		
tt33291991	tt0088625	8.0	2.0
tt1561540	tt1555761	1.0	19.0
tt28300331	tt6938018	22.0	4.0
tt11543838	tt7228428	5.0	56.0
tt12221468	tt0473585	5.0	5.0
tt0861971	tt0059978	1.0	337.0
tt10883220	tt7983796	2.0	9.0
tt17072634	tt17043616		
tt15947724	tt15941280		
tt13732148	tt12145846	1.0	639.0
tt29808549	tt11954606	6.0	23.0
tt22622672	tt18559740	4.0	33.0
tt20605116	tt2364308	1.0	6041.0
tt2693412	tt1926834	1.0	2.0
tt10194288	tt0303561		
tt27193225	tt5743796	3.0	4.0
tt1367568	tt0051267	4.0	37.0
tt6463982	tt0380086	1.0	18.0
tt1025413	tt0379623	4.0	167.0
tt3192060	tt3166422		
tt32820712	tt29921392	1.0	20.0
tt3023044	tt3017980		
tt9749834	tt0498891		
tt14846500	tt14752302	1.0	253.0
tt0673329	tt0050051	2.0	7.0
tt3048412	tt3037756		
tt0526946	tt0066633	3.0	10.0
tt15695416	tt2383386	1.0	983.0
tt7653364	tt7541320	1.0	54.0
tt13015466	tt12182370	1.0	867.0
tt35597399	tt3918904	32.0	5.0
tt1688160	tt0245633	2.0	4.0
tt21190728	tt15079894	1.0	196.0
tt8047674	tt7923860		
tt4393946	tt3504148	1.0	77.0
tt9072476	tt1444834	1.0	13.0
tt22242118	tt0098844	22.0	3.0
tt0593130	tt0255734	3.0	6.0
tt28551645	tt28468033	1.0	71.0
tt34813093	tt0250898		
tt0502217	tt0285331	3.0	14.0
tt10611122	tt9485336		
tt10759852	tt10405150	1.0	917.0
tt28607716	tt7945424	3.0	18.0
tt8730738	tt5646248	4.0	6.0
tt2001283	tt1188649		
tt9161800	tt7239892	1.0	50.0
tt27207691	tt27095392	1.0	27.0
tt1566794	tt0844203		
tt4521932	tt4516758	1.0	10.0
tt1361138	tt0259797	1.0	3.0
tt1406686	tt1405166	7.0	11.0
tt10951664	tt7050978	2.0	40.0
tt14280328	tt7997010	1.0	143.0
tt0600374	tt0236903		
tt5229684	tt0768816	4.0	8.0
tt23868170	tt0185819	1.0	4329.0
tt1403811	tt1355144	1.0	21.0
tt32579525	tt26770445		
tt1875285	tt1850596	7.0	9.0
tt9527548	tt6585100	1.0	490.0
tt25813084	tt9642968	1.0	3.0
tt19759576	tt19263906	1.0	530.0
tt11923056	tt0482856	2.0	1.0
tt11778576	tt11668838		
tt32991862	tt32907262	1.0	2572.0
tt10255532	tt0446809	15.0	4.0
tt16529728	tt0072559	1.0	2257.0
tt12010324	tt11992498		
tt7705364	tt7657494	1.0	11.0
tt12062408	tt12060778	1.0	21.0
tt21151924	tt1894749		
tt5358374	tt4979824		
tt21069530	tt14156722	1.0	540.0
tt31259517	tt7006666	6.0	1.0
tt7420698	tt7414406	1.0	13.0
tt14845068	tt12605548	1.0	39.0
tt5800432	tt0407358		
tt4607934	tt3883040	1.0	6.0
tt31308395	tt0197176		
tt34418116	tt0972750		
tt31541715	tt29512692	2.0	7.0
tt32461376	tt2409866	19.0	27.0
tt6191414	tt6184410	1.0	6.0
tt10154818	tt7453862	1.0	12.0
tt1701609	tt1405800	6.0	184.0
tt6332610	tt6099180	2.0	232.0
tt31970786	tt31867638	1.0	5.0
tt15970710	tt15935498		
tt33184426	tt0388572	14.0	5.0
tt29511746	tt13179356	1.0	50.0
tt1237754	tt0334871	3.0	3.0
tt15322662	tt15226442	1.0	519.0
tt10612444	tt8819906	1.0	2.0
tt29729926	tt0818735	2.0	62.0
tt5392430	tt0283767	1.0	5682.0
tt28292344	tt0209533	1.0	26.0
tt0860204	tt0072559	1.0	274.0
tt15020712	tt6558936	1.0	2631.0
tt1310986	tt0044294	1.0	7.0
tt33269874	tt9589494	11.0	82.0
tt7314504	tt5793764	1.0	98.0
tt11601534	tt0409629		
tt1627336	tt0098805	1.0	7.0
tt11794124	tt4287752	1.0	225.0
tt7560312	tt0271054	1.0	39.0
tt7288504	tt0216470		
tt7840884	tt2759376	1.0	52.0
tt13829978	tt1594418	2.0	6.0
tt1833165	tt0445120	6.0	93.0
tt10251128	tt10141612	1.0	26.0
tt2035854	tt0376378		
tt9425468	tt0299345	2.0	13.0
tt5481102	tt2432640	3.0	6.0
tt6631398	tt1561755	7.0	16.0
tt8605244	tt0069576	1.0	922.0
tt14294412	tt0302151		
tt3167918	tt0367423	12.0	37.0
tt13962930	tt9871766	1.0	261.0
tt2187568	tt2170693	2.0	9.0
tt30839117	tt26861760	1.0	258.0
tt6618164	tt2361632		
tt33051035	tt30254746	1.0	9334.0
tt14612062	tt3004580	1.0	34.0
tt15070206	tt0449696	1.0	709.0
tt14020904	tt10855978	2.0	232.0
tt9681994	tt9159144	1.0	3.0
tt3728992	tt1454730	5.0	7.0
tt9762922	tt1500475	1.0	140.0
tt10597834	tt10592910		
tt18562110	tt15490038	1.0	6.0
tt11815588	tt11815494	4.0	4.0
tt28751482	tt28750658	1.0	12.0
tt0676501	tt0231040	5.0	12.0
tt18688422	tt13463394	4.0	5.0
tt28503386	tt0056758	1.0	1364.0
tt27670931	tt6610786	14.0	26.0
tt29208460	tt28075497		
tt1067781	tt0759364	2.0	4.0
tt33014320	tt32643410	1.0	1.0
tt23559388	tt0388626	1.0	3491.0
tt32430670	tt28651453	2.0	10.0
tt0623461	tt0355102	15.0	14.0
tt12754992	tt0346306	4.0	117.0
tt1552135	tt0096597	2.0	126.0
tt7163990	tt0056758	1.0	13881.0
tt4076732	tt3097134	3.0	25.0
tt23746316	tt18569346		
tt4247530	tt0466603		
tt3746570	tt3730500	1.0	1.0
tt11514216	tt0205665	1.0	41.0
tt16201750	tt1886049		
tt32302906	tt0847542	1.0	45.0
tt7226070	tt0112082	1.0	161.0
tt2698724	tt0044298		
tt7756536	tt5236276	1.0	48.0
tt6547764	tt6473028		
tt5303610	tt3141676	1.0	108.0
tt6187992	tt0991344	8.0	2.0
tt3476112	tt1725140	5.0	282.0
tt28631464	tt28595711	1.0	654.0
tt10685374	tt2195211	8.0	8.0
tt5324234	tt4429344	2.0	2.0
tt28773734	tt16529212	1.0	453.0
tt10809348	tt10686254		
tt11100826	tt11004134	2.0	9.0
tt15279498	tt13868474	1.0	800.0
tt0808779	tt0231033	5.0	1.0
tt10871180	tt5292408	1.0	2116.0
tt21235042	tt16358154	3.0	7.0
tt4721312	tt3056900		
tt31385722	tt26896547	1.0	610.0
tt10272968	tt8466842	1.0	413.0
tt1934143	tt0072584	5.0	113.0
tt9837412	tt0227952	3.0	24.0
tt4243970	tt3207686	1.0	2.0
tt3934276	tt1985601	1.0	4613.0
tt21053616	tt15522040	1.0	5.0
tt28237067	tt21193634	1.0	694.0
tt12998378	tt9843522	2.0	3.0
tt13186402	tt13154270		
tt6938330	tt6619598	13.0	1.0
tt8851624	tt6482686	2.0	11.0
tt10487004	tt10485750	1.0	1.0
tt2326486	tt1737565	6.0	8.0
tt0954689	tt0202741	3.0	5.0
tt6551004	tt1746642		
tt6071456	tt6062722	1.0	4.0
tt13344080	tt0083441	10.0	53.0
tt5547800	tt5542848	1.0	2.0
tt27499313	tt0460354	17.0	1.0
tt34856440	tt34851635	2.0	1.0
tt0578506	tt0111958	1.0	2.0
tt13264620	tt5533398	9.0	6.0
tt6945758	tt6099850	2.0	6.0
tt14541620	tt2289427	1.0	316.0
tt14791428	tt0143004	1.0	45.0
tt33644719	tt33609130	1.0	163.0
tt5255162	tt5109144	1.0	7.0
tt16530108	tt2243286	1.0	157.0
tt10958538	tt0227958		
tt12407952	tt0047714	1.0	13.0
tt7680464	tt0289032	1.0	87.0
tt12377058	tt0178146	3.0	230.0
tt20698714	tt2364308	1.0	6270.0
tt8431638	tt0441074	44.0	89.0
tt2067132	tt0374364		
tt12770706	tt12637954	1.0	315.0
tt3973300	tt0982501	2.0	15.0
tt9371284	tt9083210	1.0	15.0
tt14689126	tt0815960	1.0	865.0
tt7836240	tt5756750	1.0	7.0
tt26259550	tt0046583	1.0	663.0
tt7200676	tt4151188		
tt1229220	tt0945531	2.0	132.0
tt12774624	tt11884876	6.0	3.0
tt4252814	tt3499856	3.0	66.0
tt10705980	tt0112113	1.0	375.0
tt8282416	tt2784810	6.0	95.0
tt1414671	tt0403806	7.0	29.0
tt24386338	tt2167911		
tt1127932	tt0434676	6.0	9.0
tt12551982	tt9764006		
tt26453734	tt13315282	7.0	34.0
tt9791852	tt2265000	1.0	247.0
tt2155042	tt1232212		
tt1248465	tt0465320		
