id,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
49,tt0055691,tvSeries,The Merv Griffin Show,The Merv Griffin Show,0.0,1962.0,1986.0,60,"Comedy,Family,Music"
50,tt0055708,tvSeries,The Tonight Show Starring Johnny Carson,The Tonight Show Starring Johnny Carson,0.0,1962.0,1992.0,105,"Comedy,Talk-Show"
51,tt0056748,tvSeries,The Danny Kaye Show,The Danny Kaye Show,0.0,1963.0,1967.0,60,"Comedy,Music"
52,tt0056752,tvSeries,The Doctors,The Doctors,0.0,1963.0,1982.0,30,"Drama,Romance"
53,tt0056757,tvSeries,The Fugitive,The Fugitive,0.0,1963.0,1967.0,51,"Adventure,Crime,Drama"
54,tt0056758,tvSeries,General Hospital,General Hospital,0.0,1963.0,,60,"Crime,Drama,Romance"
55,tt0056777,tvSeries,The Outer Limits,The Outer Limits,0.0,1963.0,1965.0,51,"Drama,Fantasy,Horror"
56,tt0057731,tvSeries,Another World,Another World,0.0,1964.0,1999.0,90,"Drama,Romance"
57,tt0057735,tvSeries,The Big Pull,The Big Pull,0.0,1962.0,1962.0,30,Sci-Fi
58,tt0057741,tvSeries,Crossroads,Crossroads,0.0,1964.0,1988.0,30,Drama
59,tt0057751,tvSeries,Gilligan's Island,Gilligan's Island,0.0,1964.0,1992.0,30,"Comedy,Family"
60,tt0057797,tvMiniSeries,Vízivárosi nyár,Vízivárosi nyár,0.0,1964.0,,,Drama
61,tt0058796,tvSeries,Days of Our Lives,Days of Our Lives,0.0,1965.0,,60,"Drama,Romance"
62,tt0058815,tvSeries,I Dream of Jeannie,I Dream of Jeannie,0.0,1965.0,1970.0,25,"Comedy,Family,Fantasy"
63,tt0058827,tvSeries,Moment of Truth,Moment of Truth,0.0,1964.0,1965.0,30,Drama
64,tt0059975,tvSeries,Cool McCool,Cool McCool,0.0,1966.0,1969.0,30,"Action,Adventure,Animation"
65,tt0059978,tvSeries,Dark Shadows,Dark Shadows,0.0,1966.0,1971.0,30,"Drama,Fantasy,Horror"
66,tt0061268,tvSeries,The Joey Bishop Show,The Joey Bishop Show,0.0,1967.0,1969.0,90,Talk-Show
67,tt0061277,tvSeries,Mannix,Mannix,0.0,1967.0,1975.0,60,"Action,Crime,Drama"
68,tt0062562,tvSeries,Freewheelers,Freewheelers,0.0,1968.0,1973.0,30,Family
69,tt0062588,tvSeries,Mister Rogers' Neighborhood,Mister Rogers' Neighborhood,0.0,1968.0,2001.0,30,"Family,Fantasy,Music"
70,tt0063879,tvSeries,Bright Promise,Bright Promise,0.0,1969.0,1972.0,30,Drama
71,tt0063908,tvSeries,Hee Haw,Hee Haw,0.0,1969.0,1997.0,60,"Comedy,Music"
72,tt0063948,tvSeries,Room 222,Room 222,0.0,1969.0,1974.0,30,"Comedy,Drama,Family"
73,tt0065272,tvSeries,All My Children,All My Children,0.0,1970.0,2011.0,60,"Drama,Mystery,Romance"
74,tt0065288,tvSeries,Dinah's Place,Dinah's Place,0.0,1970.0,1974.0,30,Talk-Show
75,tt0065314,tvSeries,The Mary Tyler Moore Show,Mary Tyler Moore,0.0,1970.0,1977.0,30,Comedy
76,tt0065316,tvSeries,Matt Lincoln,Matt Lincoln,0.0,1970.0,1971.0,60,Drama
77,tt0065335,tvSeries,Donahue,The Phil Donahue Show,0.0,1967.0,1995.0,60,Talk-Show
78,tt0066630,tvSeries,The Beachcombers,The Beachcombers,0.0,1972.0,2004.0,30,"Adventure,Comedy"
79,tt0066633,tvSeries,Bless This House,Bless This House,0.0,1971.0,1976.0,30,Comedy
80,tt0068069,tvSeries,Emmerdale Farm,Emmerdale Farm,0.0,1972.0,,30,"Crime,Drama,Romance"
81,tt0068103,tvSeries,Maude,Maude,0.0,1972.0,1978.0,30,Comedy
82,tt0068114,tvSeries,Number 96,Number 96,0.0,1972.0,1977.0,25,"Comedy,Crime,Drama"
83,tt0068120,tvSeries,The Price is Right,The New Price Is Right,0.0,1972.0,,60,"Family,Game-Show"
84,tt0068128,tvSeries,Sanford and Son,Sanford and Son,0.0,1972.0,1978.0,30,Comedy
85,tt0069557,tvSeries,Barnaby Jones,Barnaby Jones,0.0,1973.0,1980.0,60,"Crime,Drama,Mystery"
86,tt0069576,tvSeries,Doraemon,Doraemon,0.0,1979.0,2005.0,25,"Adventure,Animation,Comedy"
87,tt0069602,tvSeries,Last of the Summer Wine,Last of the Summer Wine,0.0,1973.0,2010.0,30,Comedy
88,tt0069608,tvSeries,Match Game,Match Game 73,0.0,1973.0,1990.0,30,"Comedy,Game-Show"
89,tt0069629,tvSeries,Sesamstraße,Sesamstraße,0.0,1973.0,,30,"Animation,Comedy,Family"
90,tt0069658,tvSeries,The Young and the Restless,The Young and the Restless,0.0,1973.0,,37,"Drama,Romance"
91,tt0071574,tvEpisode,Graceless Go I,Graceless Go I,0.0,1974.0,,90,"Comedy,Drama"
